waveform	Sine
t0	01/01/1904  01:00:00,000000
delta t	0,001000

time	Sine
01/01/1904  01:00:00,244000	8,291937E-1
01/01/1904  01:00:00,245000	7,093247E-1
01/01/1904  01:00:00,246000	5,641603E-1
01/01/1904  01:00:00,247000	3,988771E-1
01/01/1904  01:00:00,248000	2,193694E-1
01/01/1904  01:00:00,249000	3,203876E-2
01/01/1904  01:00:00,250000	-1,564345E-1
01/01/1904  01:00:00,251000	-3,393290E-1
01/01/1904  01:00:00,252000	-5,101227E-1
01/01/1904  01:00:00,253000	-6,627246E-1
01/01/1904  01:00:00,254000	-7,916929E-1
01/01/1904  01:00:00,255000	-8,924284E-1
01/01/1904  01:00:00,256000	-9,613386E-1
01/01/1904  01:00:00,257000	-9,959662E-1
01/01/1904  01:00:00,258000	-9,950763E-1
01/01/1904  01:00:00,259000	-9,587007E-1
01/01/1904  01:00:00,260000	-8,881364E-1
01/01/1904  01:00:00,261000	-7,859001E-1
01/01/1904  01:00:00,262000	-6,556374E-1
01/01/1904  01:00:00,263000	-5,019939E-1
01/01/1904  01:00:00,264000	-3,304485E-1
01/01/1904  01:00:00,265000	-1,471189E-1
01/01/1904  01:00:00,266000	4,145714E-2
01/01/1904  01:00:00,267000	2,285548E-1
01/01/1904  01:00:00,268000	4,075018E-1
01/01/1904  01:00:00,269000	5,719168E-1
01/01/1904  01:00:00,270000	7,159365E-1
01/01/1904  01:00:00,271000	8,344249E-1
01/01/1904  01:00:00,272000	9,231566E-1
01/01/1904  01:00:00,273000	9,789672E-1
01/01/1904  01:00:00,274000	9,998666E-1
01/01/1904  01:00:00,275000	9,851093E-1
01/01/1904  01:00:00,276000	9,352218E-1
01/01/1904  01:00:00,277000	8,519829E-1
01/01/1904  01:00:00,278000	7,383612E-1
01/01/1904  01:00:00,279000	5,984085E-1
01/01/1904  01:00:00,280000	4,371158E-1
01/01/1904  01:00:00,281000	2,602349E-1
01/01/1904  01:00:00,282000	7,407368E-2
01/01/1904  01:00:00,283000	-1,147291E-1
01/01/1904  01:00:00,284000	-2,994405E-1
01/01/1904  01:00:00,285000	-4,734734E-1
01/01/1904  01:00:00,286000	-6,306216E-1
01/01/1904  01:00:00,287000	-7,652810E-1
01/01/1904  01:00:00,288000	-8,726495E-1
01/01/1904  01:00:00,289000	-9,488980E-1
01/01/1904  01:00:00,290000	-9,913076E-1
01/01/1904  01:00:00,291000	-9,983658E-1
01/01/1904  01:00:00,292000	-9,698210E-1
01/01/1904  01:00:00,293000	-9,066910E-1
01/01/1904  01:00:00,294000	-8,112271E-1
01/01/1904  01:00:00,295000	-6,868338E-1
01/01/1904  01:00:00,296000	-5,379471E-1
01/01/1904  01:00:00,297000	-3,698765E-1
01/01/1904  01:00:00,298000	-1,886155E-1
01/01/1904  01:00:00,299000	-6,283185E-4
01/01/1904  01:00:00,300000	1,873813E-1
01/01/1904  01:00:00,301000	3,687087E-1
01/01/1904  01:00:00,302000	5,368874E-1
01/01/1904  01:00:00,303000	6,859200E-1
01/01/1904  01:00:00,304000	8,104917E-1
01/01/1904  01:00:00,305000	9,061602E-1
01/01/1904  01:00:00,306000	9,695138E-1
01/01/1904  01:00:00,307000	9,982932E-1
01/01/1904  01:00:00,308000	9,914722E-1
01/01/1904  01:00:00,309000	9,492939E-1
01/01/1904  01:00:00,310000	8,732625E-1
01/01/1904  01:00:00,311000	7,660893E-1
01/01/1904  01:00:00,312000	6,315964E-1
01/01/1904  01:00:00,313000	4,745799E-1
01/01/1904  01:00:00,314000	3,006392E-1
01/01/1904  01:00:00,315000	1,159773E-1
01/01/1904  01:00:00,316000	-7,282044E-2
01/01/1904  01:00:00,317000	-2,590213E-1
01/01/1904  01:00:00,318000	-4,359852E-1
01/01/1904  01:00:00,319000	-5,974012E-1
01/01/1904  01:00:00,320000	-7,375131E-1
01/01/1904  01:00:00,321000	-8,513243E-1
01/01/1904  01:00:00,322000	-9,347761E-1
01/01/1904  01:00:00,323000	-9,848925E-1
01/01/1904  01:00:00,324000	-9,998863E-1
01/01/1904  01:00:00,325000	-9,792228E-1
01/01/1904  01:00:00,326000	-9,236389E-1
01/01/1904  01:00:00,327000	-8,351168E-1
01/01/1904  01:00:00,328000	-7,168133E-1
01/01/1904  01:00:00,329000	-5,729472E-1
01/01/1904  01:00:00,330000	-4,086491E-1
01/01/1904  01:00:00,331000	-2,297780E-1
01/01/1904  01:00:00,332000	-4,271266E-2
01/01/1904  01:00:00,333000	1,458758E-1
01/01/1904  01:00:00,334000	3,292622E-1
01/01/1904  01:00:00,335000	5,009066E-1
01/01/1904  01:00:00,336000	6,546880E-1
01/01/1904  01:00:00,337000	7,851224E-1
01/01/1904  01:00:00,338000	8,875582E-1
01/01/1904  01:00:00,339000	9,583425E-1
01/01/1904  01:00:00,340000	9,949510E-1
01/01/1904  01:00:00,341000	9,960782E-1
01/01/1904  01:00:00,342000	9,616839E-1
01/01/1904  01:00:00,343000	8,929947E-1
01/01/1904  01:00:00,344000	7,924600E-1
01/01/1904  01:00:00,345000	6,636651E-1
01/01/1904  01:00:00,346000	5,112031E-1
01/01/1904  01:00:00,347000	3,405108E-1
01/01/1904  01:00:00,348000	1,576755E-1
01/01/1904  01:00:00,349000	-3,078274E-2
01/01/1904  01:00:00,350000	-2,181432E-1
01/01/1904  01:00:00,351000	-3,977245E-1
01/01/1904  01:00:00,352000	-5,631223E-1
01/01/1904  01:00:00,353000	-7,084384E-1
01/01/1904  01:00:00,354000	-8,284906E-1
01/01/1904  01:00:00,355000	-9,189978E-1
01/01/1904  01:00:00,356000	-9,767322E-1
01/01/1904  01:00:00,357000	-9,996350E-1
01/01/1904  01:00:00,358000	-9,868895E-1
01/01/1904  01:00:00,359000	-9,389502E-1
01/01/1904  01:00:00,360000	-8,575267E-1
01/01/1904  01:00:00,361000	-7,455225E-1
01/01/1904  01:00:00,362000	-6,069321E-1
01/01/1904  01:00:00,363000	-4,466976E-1
01/01/1904  01:00:00,364000	-2,705332E-1
01/01/1904  01:00:00,365000	-8,472132E-2
01/01/1904  01:00:00,366000	1,041119E-1
01/01/1904  01:00:00,367000	2,892323E-1
01/01/1904  01:00:00,368000	4,640383E-1
01/01/1904  01:00:00,369000	6,222961E-1
01/01/1904  01:00:00,370000	7,583619E-1
01/01/1904  01:00:00,371000	8,673835E-1
01/01/1904  01:00:00,372000	9,454731E-1
01/01/1904  01:00:00,373000	9,898458E-1
01/01/1904  01:00:00,374000	9,989193E-1
01/01/1904  01:00:00,375000	9,723699E-1
01/01/1904  01:00:00,376000	9,111445E-1
01/01/1904  01:00:00,377000	8,174265E-1
01/01/1904  01:00:00,378000	6,945579E-1
01/01/1904  01:00:00,379000	5,469205E-1
01/01/1904  01:00:00,380000	3,797791E-1
01/01/1904  01:00:00,381000	1,990943E-1
01/01/1904  01:00:00,382000	1,130949E-2
01/01/1904  01:00:00,383000	-1,768786E-1
01/01/1904  01:00:00,384000	-3,587590E-1
01/01/1904  01:00:00,385000	-5,278455E-1
01/01/1904  01:00:00,386000	-6,781084E-1
01/01/1904  01:00:00,387000	-8,041889E-1
01/01/1904  01:00:00,388000	-9,015911E-1
01/01/1904  01:00:00,389000	-9,668412E-1
01/01/1904  01:00:00,390000	-9,976125E-1
01/01/1904  01:00:00,391000	-9,928076E-1
01/01/1904  01:00:00,392000	-9,525978E-1
01/01/1904  01:00:00,393000	-8,784171E-1
01/01/1904  01:00:00,394000	-7,729108E-1
01/01/1904  01:00:00,395000	-6,398415E-1
01/01/1904  01:00:00,396000	-4,839545E-1
01/01/1904  01:00:00,397000	-3,108091E-1
01/01/1904  01:00:00,398000	-1,265799E-1
01/01/1904  01:00:00,399000	6,216343E-2
01/01/1904  01:00:00,400000	2,486899E-1
01/01/1904  01:00:00,401000	4,263477E-1
01/01/1904  01:00:00,402000	5,888014E-1
01/01/1904  01:00:00,403000	7,302577E-1
01/01/1904  01:00:00,404000	8,456719E-1
01/01/1904  01:00:00,405000	9,309284E-1
01/01/1904  01:00:00,406000	9,829867E-1
01/01/1904  01:00:00,407000	9,999903E-1
01/01/1904  01:00:00,408000	9,813330E-1
01/01/1904  01:00:00,409000	9,276799E-1
01/01/1904  01:00:00,410000	8,409446E-1
01/01/1904  01:00:00,411000	7,242200E-1
01/01/1904  01:00:00,412000	5,816688E-1
01/01/1904  01:00:00,413000	4,183744E-1
01/01/1904  01:00:00,414000	2,401603E-1
01/01/1904  01:00:00,415000	5,338169E-2
01/01/1904  01:00:00,416000	-1,353006E-1
01/01/1904  01:00:00,417000	-3,191578E-1
01/01/1904  01:00:00,418000	-4,916334E-1
01/01/1904  01:00:00,419000	-6,465768E-1
01/01/1904  01:00:00,420000	-7,784623E-1
01/01/1904  01:00:00,421000	-8,825868E-1
01/01/1904  01:00:00,422000	-9,552371E-1
01/01/1904  01:00:00,423000	-9,938223E-1
01/01/1904  01:00:00,424000	-9,969664E-1
01/01/1904  01:00:00,425000	-9,645574E-1
01/01/1904  01:00:00,426000	-8,977510E-1
01/01/1904  01:00:00,427000	-7,989295E-1
01/01/1904  01:00:00,428000	-6,716171E-1
01/01/1904  01:00:00,429000	-5,203540E-1
01/01/1904  01:00:00,430000	-3,505343E-1
01/01/1904  01:00:00,431000	-1,682141E-1
01/01/1904  01:00:00,432000	2,010484E-2
01/01/1904  01:00:00,433000	2,077068E-1
01/01/1904  01:00:00,434000	3,879017E-1
01/01/1904  01:00:00,435000	5,542635E-1
01/01/1904  01:00:00,436000	7,008595E-1
01/01/1904  01:00:00,437000	8,224619E-1
01/01/1904  01:00:00,438000	9,147341E-1
01/01/1904  01:00:00,439000	9,743858E-1
01/01/1904  01:00:00,440000	9,992895E-1
01/01/1904  01:00:00,441000	9,885572E-1
01/01/1904  01:00:00,442000	9,425716E-1
01/01/1904  01:00:00,443000	8,629726E-1
01/01/1904  01:00:00,444000	7,525988E-1
01/01/1904  01:00:00,445000	6,153864E-1
01/01/1904  01:00:00,446000	4,562284E-1
01/01/1904  01:00:00,447000	2,808007E-1
01/01/1904  01:00:00,448000	9,535930E-2
01/01/1904  01:00:00,449000	-9,348276E-2
01/01/1904  01:00:00,450000	-2,789911E-1
01/01/1904  01:00:00,451000	-4,545502E-1
01/01/1904  01:00:00,452000	-6,138995E-1
01/01/1904  01:00:00,453000	-7,513563E-1
01/01/1904  01:00:00,454000	-8,620187E-1
01/01/1904  01:00:00,455000	-9,419403E-1
01/01/1904  01:00:00,456000	-9,882711E-1
01/01/1904  01:00:00,457000	-9,993587E-1
01/01/1904  01:00:00,458000	-9,748079E-1
01/01/1904  01:00:00,459000	-9,154941E-1
01/01/1904  01:00:00,460000	-8,235326E-1
01/01/1904  01:00:00,461000	-7,022028E-1
01/01/1904  01:00:00,462000	-5,558314E-1
01/01/1904  01:00:00,463000	-3,896384E-1
01/01/1904  01:00:00,464000	-2,095503E-1
01/01/1904  01:00:00,465000	-2,198938E-2
01/01/1904  01:00:00,466000	1,663557E-1
01/01/1904  01:00:00,467000	3,487683E-1
01/01/1904  01:00:00,468000	5,187434E-1
01/01/1904  01:00:00,469000	6,702194E-1
01/01/1904  01:00:00,470000	7,977944E-1
01/01/1904  01:00:00,471000	8,969191E-1
01/01/1904  01:00:00,472000	9,640583E-1
01/01/1904  01:00:00,473000	9,968180E-1
01/01/1904  01:00:00,474000	9,940297E-1
01/01/1904  01:00:00,475000	9,557930E-1
01/01/1904  01:00:00,476000	8,834714E-1
01/01/1904  01:00:00,477000	7,796441E-1
01/01/1904  01:00:00,478000	6,480136E-1
01/01/1904  01:00:00,479000	4,932740E-1
01/01/1904  01:00:00,480000	3,209436E-1
01/01/1904  01:00:00,481000	1,371679E-1
01/01/1904  01:00:00,482000	-5,149933E-2
01/01/1904  01:00:00,483000	-2,383301E-1
01/01/1904  01:00:00,484000	-4,166616E-1
01/01/1904  01:00:00,485000	-5,801345E-1
01/01/1904  01:00:00,486000	-7,229189E-1
01/01/1904  01:00:00,487000	-8,399231E-1
01/01/1904  01:00:00,488000	-9,269745E-1
01/01/1904  01:00:00,489000	-9,809687E-1
01/01/1904  01:00:00,490000	-9,999803E-1
01/01/1904  01:00:00,491000	-9,833312E-1
01/01/1904  01:00:00,492000	-9,316151E-1
01/01/1904  01:00:00,493000	-8,466764E-1
01/01/1904  01:00:00,494000	-7,315441E-1
01/01/1904  01:00:00,495000	-5,903239E-1
01/01/1904  01:00:00,496000	-4,280520E-1
01/01/1904  01:00:00,497000	-2,505152E-1
